Original Order,Optimized Order,Original Distance,Optimized Distance
"['108335', '391825', '340367', '286457', '661741']","[<point.Point instance at 0x1110c5b48>, <point.Point instance at 0x1110c5b90>, <point.Point instance at 0x1110c5bd8>, <point.Point instance at 0x10a5dc440>, <point.Point instance at 0x109e2e560>]",78,70
"['219130', '365285', '364695']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d73f8>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x10a5e7b00>, <point.Point instance at 0x109e2e560>]",62,62
"['422465', '379019', '98888']","[<point.Point instance at 0x1110c5680>, <point.Point instance at 0x1110c5a28>, <point.Point instance at 0x1110c5710>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x109e2e560>]",72,68
"['352109', '397889', '386850', '380489', '287261']","[<point.Point instance at 0x1110c5560>, <point.Point instance at 0x1110c5e60>, <point.Point instance at 0x1110c5cf8>, <point.Point instance at 0x10a5d7ab8>, <point.Point instance at 0x109e2e560>]",46,46
"['281610', '342706', '111873', '198029', '366109', '287261', '76283', '254489', '258540', '286457']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x10a5d7ab8>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x10a602248>, <point.Point instance at 0x109e2e560>]",76,52
"['383599', '381992', '89769', '284905']","[<point.Point instance at 0x11102dd88>, <point.Point instance at 0x11102ddd0>, <point.Point instance at 0x11102de18>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x109e2e560>]",72,72
"['284251', '780493', '226774', '140817', '191515', '327710']","[<point.Point instance at 0x11102d248>, <point.Point instance at 0x11102d950>, <point.Point instance at 0x11102dcf8>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",62,58
"['16643', '123462', '119063', '128827', '188598', '323836', '660999', '661002']","[<point.Point instance at 0x111075098>, <point.Point instance at 0x1110750e0>, <point.Point instance at 0x111075a70>, <point.Point instance at 0x111075d40>, <point.Point instance at 0x10a5f11b8>, <point.Point instance at 0x109e2e560>]",86,78
"['181202', '328595', '276157', '296188', '8140', '208299']","[<point.Point instance at 0x11102d6c8>, <point.Point instance at 0x11102d3b0>, <point.Point instance at 0x11102de60>, <point.Point instance at 0x11102dc68>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x109e2e560>]",78,62
"['427230', '372539', '396879', '391680', '208660', '105912', '332555', '227534', '68048', '188856', '736830', '736831', '479020', '103313', '365797', '97077', '117900', '384900', '769581', '1372184', '226774']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x10a5d1440>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x10a5dcab8>, <point.Point instance at 0x10a5e13f8>, <point.Point instance at 0x10a5e1b48>, <point.Point instance at 0x110275998>, <point.Point instance at 0x10a5d15a8>, <point.Point instance at 0x10a5d19e0>, <point.Point instance at 0x109e2e560>]",154,78
"['1117760', '102601', '222340', '112167']","[<point.Point instance at 0x111075ab8>, <point.Point instance at 0x1110755a8>, <point.Point instance at 0x111075290>, <point.Point instance at 0x10a5dc5a8>, <point.Point instance at 0x109e2e560>]",54,58
